Program,UW Course Code,UW Course,Foreign Course,Host University,Year Taken,
Architectural Engineering,AE 301,AE 301 - Building Enclosure Systems (technical elective  list A),T000055191 - Facade Design and Engineering,Southern Denmark University ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,051595 - Structural Design,Politecnico di Milano ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,CIV223 - Structural Engineering Design and Appraisal,University of Sheffield ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,124BSD1 - Building Structures 1,Czech Technical University ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,T000031101 - Concrete Structures According to Eurocode 2,Southern Denmark University ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,055774 - Architectural Design Studio,Politecnico di Milano ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,ARC225 - Architectural Design 3,University of Sheffield ,2022,
Architectural Engineering,AE 325,AE 325 - Project 1 Studio,129DS1 - Design Studio 1 (Residential Buildings),Czech Technical University ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,Exchange Project in Civil Engineering,Southern Denmark University ,2022,
Architectural Engineering,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,124IBD - Integrated Building Design,Czech Technical University ,2022,
Architectural Engineering,CIVE 422,CIVE 422 - Finite Element Analysis (technical elective  list C),T000016101 - Finite Element Methods,Southern Denmark University ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,053221 - Advanced Building Physics,Politecnico di Milano ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,ARC207 - Environment and Technology 3,University of Sheffield ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,124BPH - Building Physics,Czech Technical University ,2022,
Architectural Engineering,GENE 22A,GENE 22A - complementary studies elective (list A),055798 - Social Impact  Rosl amd Responsibility of Technology and Engineering,Politecnico di Milano ,2022,
Architectural Engineering,ME 452,ME 452 - HVAC Load Analysis and Design Fundamentals,CIV4025 - Thermodynamics for Buildings and Cities,University of Sheffield ,2022,
Architecture,ARCH 1X,ARCH 1XX - elective,EXTA24 - Swedish for Exchange Students  Level 1,Lunds Universitet,2019,
Architecture,ARCH 1XX,ARCH 1XX,ARK42516 - Speces ini Finnish Nature,Tampere University of Technology ,2015,
Architecture,ARCH 313,ARCH 313 - Advanced Visualization,AAHN15 - The Creative Tools of Architecture 1,Lunds Universitet,2019,
Architecture,ARCH 327,ARCH 327 - Architecture of the Urban Environment,053310 - Urban History,Politecnico di Milano ,2018,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,ASBN06 - Urban Recycling: Theory and Methods,Lunds Universitet,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and The Urban Environment,555U3 - Urbanism 3: Theory,Czech Technical University ,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,555U3 - Urbanism 3: Theory,Czech Technical University ,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,ARCH 447 - Urban Renewal and Regeneration,Yeditepe University,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,ARCH 206 - Architecture History and Theory 4: The City,University of Hong Kong ,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Environment,AR1A061 - Lectures on Architectural Design and Research Methods,Delft University of Technology ,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,ARCH 206 - Architecture History and Theory 4: The City,University of Hong Kong ,2019,
Architecture,ARCH 327,ARCH 327 - Architecture and the Urban Environment,ARK 53506 - Sustainable Renovation and Redevelopment,Tampere University of Technology ,2015,
Architecture,ARCH 342,ARCH 342 - Modernism to the 21st Century,ABVN06 - Modernistic Architecture - Renewal  Theory,Lunds Universitet,2019,
Architecture,ARCH 342,ARCH 342 - Modern Architecture,ARK42506 - Contemporary Finnish Architecture,Tampere University of Technology ,2015,
Architecture,ARCH 365,ARCH 365 - Structural Design Build Workshop,ARK43706 - Finnish Wood Architecture,Tampere University of Technology ,2015,
Architecture,ARCH 392,ARCH 392 - Design Studio,ABVN02 - Modernistic Architecture - Renewal,Lunds Universitet,2019,
Architecture,ARCH 393,ARCH 393 - Design Studio,099458 - Architectural Design Studio 3,Politecnico di Milano ,2022,
Architecture,ARCH 393,ARCH 393 - Design Studio,051464 - Landscape and Infrastructure Design Studio,Politecnico di Milano ,2018,
Architecture,ARCH 393,ARCH 393 - Design Studio,ARC325 - Architectural Design 5,University of Sheffield ,2022,
Architecture,ARCH 393,ARCH 393 - Design Studio,ASBN02 - Sustainable Urban Recycling,Lunds Universitet,2019,
Architecture,ARCH 393,ARCH 393 - Design Studio,555AT1 - Architectural Design 1,Czech Technical University ,2019,
Architecture,ARCH 393,ARCH 393 - Design Studi,555AT1 - Architectural Design 1,Czech Technical University ,2019,
Architecture,ARCH 393,ARCH 393 - Option Design Studio,ARCH 353 - Architectural Design III,Yeditepe University,2019,
Architecture,ARCH 393,ARCH 393 - Option Design Studio,ARCH4071 - Architectural Design 5,University of Hong Kong ,2019,
Architecture,ARCH 393,ARCH 393 - Design Studio,AR1AI013 - Interiors  Buildings and Cities,Delft University of Technology ,2019,
Architecture,ARCH 393,ARCH 393 - Design Studio,ARCT3001 - Studio,University of Western Australia ,2022,
Architecture,ARCH 393,ARCH 393 - Option Design Studio,PR0001 - Project realization,Université deTechnologie de Compiègne ,2022,
Architecture,ARCH 393,ARCH 393 - Option Design Studio,ARCH4071 - Architectural Design 5,University of Hong Kong ,2019,
Architecture,ARCH 393,ARCH 393 - Design Studio,ARK43106 - Housing Design  Professional Course,Tampere University of Technology ,2015,
Architecture,ARCH 393,ARCH 393 - Option Design Studio,Architectural Design Studio II,Tokyo Institute of Technology ,2022,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,053187 - Theory in Contemporary Architecture Design,Politecnico di Milano ,2022,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,051726 - Archaeology  Architecture and Construction Techniques,Politecnico di Milano ,2018,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,ARC303 - Humanities 5,University of Sheffield ,2022,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,ABFF01 - An Outline of Scandinavian Architecture and Urbanism I,Lunds Universitet,2019,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,555I3 - Interior 3: History of Theatre,Czech Technical University ,2019,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,ARCH 320 - Theories of Contemporary World Architecture,Yeditepe University,2019,
Architecture,ARCH 442,ARCH 442 - Contemporary Architecture Theory,ARCH 1240 - Architecture in Western Tradition,University of Queensland ,2017,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,AR1A066 - Lectures on Architectural History and Theory,Delft University of Technology ,2019,
Architecture,ARCH 442,ARCH 442: Contemporary Architectural Theory,HART3330 - Art Theory,University of Western Australia ,2022,
Architecture,ARCH 442,ARCH 442 - Contemporary Architectural Theory,Theory of Architectural Design II,Tokyo Institute of Technology ,2022,
Architecture,ARCH 465,ARCH 465 - Advanced Structures,099480 - Mechanics of Materials and Structures,Politecnico di Milano ,2018,
Architecture,ARCH 510,ARCH 510 - Special Topics in Visual and Digital Media,ARC328 - Management Practice Law,University of Sheffield ,2022,
Architecture,ARCH 510,ARCH 510 - Digital Topics,ARCT3050 - Active Matter,University of Western Australia ,2022,
Architecture,ARCH 510,ARCH 510 - Special Topics in Visual and Digital Media,BA08 - Data science for the smart city,Université deTechnologie de Compiègne ,2022,
Architecture,ARCH 510,ARCH 510 - Special Topics in Visual and Digital Media,Interaction Design,Tokyo Institute of Technology ,2022,
Architecture,ARCH 520,ARCH 520 - Special Topics in Urbanism and Lands,051829 - Sociology of Contemporary Cities,Politecnico di Milano ,2022,
Architecture,ARCH 520,ARCH 520 - Special Topics in Urbanism and Landscape,555UP1 - Planning 1: Urban Planning,Czech Technical University ,2019,
Architecture,ARCH 520,ARCH 520 - Special Topics in Urbanism and Landscape,555EKL3 - Ecology 3: Social Ecology,Czech Technical University ,2019,
Architecture,ARCH 520,ARCH 520 - Special Topics in Urbanism and Landscape,LAUD 307 - Environmental Image,Yeditepe University,2019,
Architecture,ARCH 520,ARCH 520 - Urban Topics,LACH2050 - Plants and Landscape Systems,University of Western Australia ,2022,
Architecture,ARCH 540,ARCH 540 - Special Topics in Architectural History and Theory,ARCH 312 - Architectural Psychology,Yeditepe University,2019,
Architecture,ARCH 540,ARCH 540 - Special Topics in Architectural History and Theory,ARCH7161 - Vernacular Architecture of Asia,University of Hong Kong ,2019,
Architecture,ARCH 540,ARCH 540 - Special Topics in Architectural History and Theory,ARCH7161 - Vernacular Architecture of Asia,University of Hong Kong ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,056845 - Philosophy of Science and Technology,Politecnico di Milano ,2022,
Architecture,ARCH 570,ARCH 570 - Special Topics in Structures and Environment,ARC327 - Advanced Structures and Environment,University of Sheffield ,2022,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology,SASH56 - Modern Design in Scandinavia,Lunds Universitet,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,124SDP2 - Structureal Design: Project 2,Czech Technical University ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,555NS5 - Building Theory 5,Czech Technical University ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,133YBBD - Basis of Bridges Design,Czech Technical University ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,ARCH4605 - Building Technology 5: Building Integration,University of Hong Kong ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environment,AR1A080 - Building Engineering Studios,Delft University of Technology ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,ARCH4605 - Building Technology 5: Building Integration,University of Hong Kong ,2019,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,Architectural Behaviorology,Tokyo Institute of Technology ,2022,
Architecture,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,Architectural Space and Planning,Tokyo Institute of Technology ,2022,
Architecture,CHINA 120R,CHINA 120R - Advanced First-Year Chinese,LG62 - Chinese Level II,Université deTechnologie de Compiègne ,2022,
Architecture,FR 152,FR 152 - Basic French 2,LA92 - French as a foreign language level II,Université deTechnologie de Compiègne ,2022,
Architecture,HIST 243,HIST 243 - European Business History: From Workshop to Factory and Beyond,EI05 - European union  society and science policy,Université deTechnologie de Compiègne ,2022,
Architecture,JAPAN 101R,JAPAN 101R - First-Year Japanese 1,Basic Japanese 1 and Basic Japanese 2,Tokyo Institute of Technology ,2022,
Architecture ,ARCH 393,ARCH 393 - Design Studio,ARCH 3200 - Architectural Design 6,University of Queensland ,2017,
Architecture ,ARCH 465,ARCH 465 - Advanced Structures,BLDG 3220 - Architectural Technology 5,University of Queensland ,2017,
Biomedical Engineering,BET 100,BET 100 - Foundations of Entrepreneurial Practice,MOT9614 - Health Entrepreneurship,Delft University of Technology ,2018,
Biomedical Engineering,BME 355,BME 355 - Anatomical Systems Modelling,088877 - Systems Theory (Nonlinear Dynamics),Politecnico di Milano ,2019,
Biomedical Engineering,BME 355,BME 355 - Physiological Systems Modelling,15540 - Biological Systems,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 355,BME 355 - Anatomical Systems Modelling,15540 - Biological Systems,Universidad Carlos III de Madrid ,2020,
Biomedical Engineering,BME 355,BME 355 - Anatomical Systems Modelling,BIO-341 - Modelisation mathematique et computationelle en biologie,Ecole Polytechnique Fédérale de Lausanne ,2018,
Biomedical Engineering,BME 356,BME 356 - Control Systems,34721 - Linear Control Design 1,Technical University of Denmark ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems,ME2142 - Feedback Control Systems,National University of Singapore ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems,MECH0023 - Dynamics and Control,University College London ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems,15548 - Control Engineering,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems Engineering,15548 - Control Engineering,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems Engineering,15548 - Control Engineering,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems,15548 - Control Engineering,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 356,BME 356 - Control Systems,SC42000 - Control System Design,Delft University of Technology ,2018,
Biomedical Engineering,BME 356,BME 356 - Control Systems,AUT.130 - Introduction to Control,Tampere University of Technology ,2022,
Biomedical Engineering,BME 361,BME 361 - Biomedical Engineering Design,052361 - Project,Politecnico di Milano ,2019,
Biomedical Engineering,BME 361,BME 361 - Biomedical Engineering Design,EE3031 - Innovation and Enterprise I,National University of Singapore ,2020,
Biomedical Engineering,BME 361,BME 361 - Biomedical Engineering Design,15554 - Introduction to Design of Medical Instrumentation,Universidad Carlos III de Madrid ,2020,
Biomedical Engineering,BME 361,BME 361 - Biomedical Engineering Design,MICRO-406 - Prodicts design et system engineering,Ecole Polytechnique Fédérale de Lausanne ,2018,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,62008 - Product Development,Technical University of Denmark ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,62008 - Product Development,Technical University of Denmark ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,MECH0009 - Manufacturing and Design,University College London ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,13454 - Design and Project Planning; and  				14160 - Tissue/Organ Regeneration and Bioengineering,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,13454 - Design and Project Planning; and  				14160 - Tissue/Organ Regeneration and Bioengineerinig,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,13454 - Design and Project Planning,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,13454 - Design and Project Planning,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Design Workshop 1,ME41096 - Bio-Inspired Design,Delft University of Technology ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,ME41075 - Biomedical Engineering Design,Delft University of Technology ,2018,
Biomedical Engineering,BME 362,BME 362 - Design Workshop 1,BBT.MUS.142 - Introduction to Quality Regulation for Medication Product Development; and  				BBT.MUS.104 - Project Work in Biomedical Sciences and Engineering,Tampere University of Technology ,2022,
Biomedical Engineering,BME 362,BME 362 - Biomedical Engineering Design Workshop 1,ESD.D404 - Design of Medical and Welfare Device,Tokyo Institute of Technology ,2022,
Biomedical Engineering,BME 364,BME 364 - Engineering Biomedical Economics,SPH3403 - Public Health Economics,National University of Singapore ,2022,
Biomedical Engineering,BME 364,BME 364 - Engineering Biomedical Economics,KAN.230 - Applicationi of Economics to Health Care,Tampere University of Technology ,2022,
Biomedical Engineering,BME 381,BME 381 - Biomedical Engineering Ethics,097677 - Computer Ethics,Politecnico di Milano ,2019,
Biomedical Engineering,BME 381,BME 381 - Biomedical Engineering Ethics,EG2401A - Engineering Professionalism,National University of Singapore ,2020,
Biomedical Engineering,BME 381,BME 381 - Biomedical Engineering Ethics,16432 - Bioethics,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 381,BME 381 - Biomedical Engineering Ethics,16432 - Bioethics,Universidad Carlos III de Madrid ,2020,
Biomedical Engineering,BME 381,BME 381 - Biomedical Engineering Ethics,BIO-455 - Intro au droit eta l'ethique,Ecole Polytechnique Fédérale de Lausanne ,2018,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,41312 - Basic Fluid Mechanics,Technical University of Denmark ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,41312 - Basic Fluid Mechanics,Technical University of Denmark ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,ME2134 - Fluid Mechanics 1,National University of Singapore ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,15499 - Engineering Fluid Mechanics,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,15499 - Engineering Fluid Mechanics,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,15499 - Engineering Fluid Mechanics,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 384,BME 384 - Biomedical Transport: Biofluids and Mass Transfer,15499 - Engineering Fluid Mechanics,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 386,BME 386 - Physics of Medical Imaging,22481 - Introduction to Medical Imaging,Technical University of Denmark ,2022,
Biomedical Engineering,BME 386,BME 386 - Physics of Medical Imaging,22481 - Introduction to Medical Imaging,Technical University of Denmark ,2022,
Biomedical Engineering,BME 386,BME 386 - Physics of Medical Imaging,MEDC0057 - Advanced Biomedical Imaging Techniques 1,University College London ,2022,
Biomedical Engineering,BME 386,BME 386 - Physics of Medical Imaging,BBT.HTI.592 - Medical Imaging Methods; and  				BBT.HTI.591 - Diagnostic X-ray Imaging Techniques,Tampere University of Technology ,2022,
Biomedical Engineering,BME 386,BME 386 - Physics of Medical Imaging,ICT.H421 - Medical Imaging Systems,Tokyo Institute of Technology ,2022,
Biomedical Engineering,BME 393,BME 393 - Digital Systems,15542 - Electronic Technology in Biomedicine,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,BME 488,BME 488 - Special Topics in Biomechanics,ME41045 - Tissue Biomechanics of Bone  Cartilage and Tendon,Delft University of Technology ,2018,
Biomedical Engineering,ECE 358,ECE 358 - Computer Networks,13884 - Computer Networks,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,052382 - Biomedical Signal Processing Lab,Politecnico di Milano ,2019,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,096053 - Bioengineering of Neurosensory Systems,Politecnico di Milano ,2019,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,CS4240 - Interaction Design for Virtual and Augmented Reality,National University of Singapore ,2020,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,ELEC0131 - Analogue CMOS Integrated Circuit Design and Applications,University College London ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,15553 - Introduction to Biomaterials,Universidad Carlos III de Madrid ,2020,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,TPM025A - User-centered Security,Delft University of Technology ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,BM41065 - Medical Technology,Delft University of Technology ,2018,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,BM41095 - Medical Instruments,Delft University of Technology ,2018,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,EE-519 - Bioelectronics et biomedical microelectronics,Ecole Polytechnique Fédérale de Lausanne ,2018,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,FYS.442 - Surface Science of Photonic Nanomaterials,Tampere University of Technology ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,CSC.T442 - Internet Applications,Tokyo Institute of Technology ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,ICT.A418 - Human-Centric Information Systems 2,Tokyo Institute of Technology ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,MCS.T412 - Information Visualization,Tokyo Institute of Technology ,2022,
Biomedical Engineering,GENE 21B,GENE 21B - technical elective,HCB.M664 - Introduction to Neural Engineering,Tokyo Institute of Technology ,2022,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),62134 - Strategic Analysis and Strategy Development,Technical University of Denmark ,2022,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),62134 - Strategic Analysis and Strategy Development,Technical University of Denmark ,2022,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),GEH1073 - The Art of Chinese Poetry,National University of Singapore ,2020,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),13158 - Economic History,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),LAJ.J411 - Basic Japanese 1,Tokyo Institute of Technology ,2022,
Biomedical Engineering,GENE 22C,GENE 22C - complementary studies elective (list C),LAJ.J412 - Basic Japanese 2,Tokyo Institute of Technology ,2022,
Biomedical Engineering,MSCI 442,MSCI 442 - Impract of Information Systems on Organization and Safety,IS11103 - Information Systems Innovations in Organizations and Society,National University of Singapore ,2020,
Biomedical Engineering,MTE 220,MTE 220 - Sensors and Instrumentation,ET4257 - Sensors and Actuators,Delft University of Technology ,2018,
Biomedical Engineering,SYDE 575,SYDE 575 - Image Processing,14158 - Medical Image Processing,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,SYDE 575,SYDE 575 - Imagine Processing,MICRO-511 - Image processing,Ecole Polytechnique Fédérale de Lausanne ,2018,
Biomedical Engineering,SYDE 584,SYDE 584 - Physiological Systems and Biomedical Design,14156 - Medical Physiology 1,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,SYDE 584,SYDE 584 - Physiological Systems and Biomedical Design,14156 - Medical Physiology 1,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,SYDE 584,SYDE 584 - Physiological Systems and Biomedical Design,14156 - Medical Physiology 1,Universidad Carlos III de Madrid ,2022,
Biomedical Engineering,SYDE 599,SYDE 599 - Special Topics in Systems Design Engineering,SEN9115 - Participatory Systems,Delft University of Technology ,2022,
Chemical Engineering,CHE 311,CHE 311 - Chemical Reaction Engineering,TC1 - Chemische Reaktionstechnik,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 311,CHE 311 - Chemical Reaction Engineering,TC1 - Chemische Reaktionstechnik,Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 312,CHE 312 - Heat and Mass Transfer 1,MB-IFT-08 - Warme und Stoffubertagung,Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 313,CHE 313 - Applications of Heat and Mass Transfer,CN2125 - Heat and Mass Transfer,National University of Singapore ,2019,
Chemical Engineering,CHE 313,CHE 313 - Applications of Heat and Mass Transfer,KETN10 - Applied Transport Phenomena,Lunds Universitet,2019,
Chemical Engineering,CHE 313,CHE 313 - Applications of Heat and Mass Transfer,KETN10 - Applied Transport Phenomena,Lunds Universitet,2018,
Chemical Engineering,CHE 313,CHE 313 - Heat and Mass Transfer 2,458.304 - Heat and Mass Transfer,Seoul National University ,2017,
Chemical Engineering,CHE 313,CHE 313 - Applications of Heat and Mass Transfer,CH3053 - Applied Transport Phenomena,Delft University of Technology ,2019,
Chemical Engineering,CHE 313,CHE 313 - Applications of Heat and Mass Transfer,CHE402 - Advanced Diffusional Processes,Ecole Polytechnique Fédérale de Lausanne ,2019,
Chemical Engineering,CHE 322,CHE 322 - Numerical Methods for Process Analysis and Design,MB-IFF-022 - Numerical Simulation of Technical Systems,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 322,CHE 322 - Transport Process Analysis,Numerische Simulation (CFD),Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 325,CHE 325 - Strategies for Proces Improvement and Product Development,MB-IBVT-33 - Optimierung von Bioprozessen,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,47310 - Battery Materials and Chemistries: From 				Fundamental Mechanisms to Battery Cells,Technical University of Denmark ,2019,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,4582.608 - Electrochemical Energy Engineering,Seoul National University ,2017,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,Fundamentals of Electrochemistry,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,Grundlagen der Elektrochemie,Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,CHE407 - Electrochemical Engineering,Ecole Polytechnique Fédérale de Lausanne ,2019,
Chemical Engineering,CHE 360,CHE 360 - Bioprocess Engineering,MB-IBVT-01 - Bioprozesstechnik,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 360,CHE 360 - Bioprocess Engineering,MB-IBVT-004 - Bioprozesstechnik,Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 361,CHE 361 - Bioprocess Engineering,KETN30 - Biochemical Reaction Engineering,Lunds Universitet,2019,
Chemical Engineering,CHE 361,CHE 361 - Bioprocess Engineering,KETN30 - Biochemical Reaction Engineering,Lunds Universitet,2018,
Chemical Engineering,CHE 391,CHE 391 - Chemical Engineering Lab 4,28121 - Chemical Unit Operations Laboratory,Technical University of Denmark ,2019,
Chemical Engineering,CHE 391,CHE 391 - Chemical Engineering Lab 4,CHE409 - Chemical Engineering Lab and Project,Ecole Polytechnique Fédérale de Lausanne ,2019,
Chemical Engineering,CHE 420,CHE 420 - Introduction to Process Control,28150 - Introduction to Process Control,Technical University of Denmark ,2019,
Chemical Engineering,CHE 420,CHE 420 - Introduction to Process Control,CN3121 - Process Dynamics and Control,National University of Singapore ,2019,
Chemical Engineering,CHE 420,CHE 420 - Introduction to Process Control,458.308 - Process Control and Design,Seoul National University ,2017,
Chemical Engineering,CHE 420,CHE 420 - Introduction to Process Control,CH3043A - Process Dynamics and Control,Delft University of Technology ,2019,
Chemical Engineering,CHE 425,CHE 425 - Strategies for Process Improvement and Product Development,ENG606a - Design of Experiments (a) Fall semester,Ecole Polytechnique Fédérale de Lausanne ,2019,
Chemical Engineering,CHE 480,CHE 480 - Process Analysis and Design,28157 - Process Design,Technical University of Denmark ,2019,
Chemical Engineering,CHE 514,CHE 514 - Fundamentals of Petroleum Production,414.372 - Process Systems Engineering for Offshore Plant,Seoul National University ,2017,
Chemical Engineering,CHE 541,CHE 541 - Introduction to Polymer Science and Properties,28213 - Polymer Technology,Technical University of Denmark ,2019,
Chemical Engineering,CHE 541,CHE 541 - Introduction to Polymer Science and Properties,KASN20 - Polymer Physics,Lunds Universitet,2019,
Chemical Engineering,CHE 541,CHE 541 - Introduction to Polymer Science and Properties,Einfuhrung in die Polymerchemie,Technische Universität Braunschweig ,2013,
Chemical Engineering,CHE 541,TE: CHE 541 - Introduction to Polymer Science and Properties,Einfurung in die Polymerchemie,Technische Universität Braunschweig ,2012,
Chemical Engineering,CHE 541,CHE 541 - Introduction to Polymer Science and Properties,MSE437 - Polymer Chemistry and Macromolecular Engineering,Ecole Polytechnique Fédérale de Lausanne ,2019,
Chemical Engineering,CHE 564,CHE 564 - Food Process Engineering,KLGN20 - Food Engineering,Lunds Universitet,2019,
Chemical Engineering,CHE 564,CHE 564 - Food Process Engineering,KLGN20 - Food Engineering,Lunds Universitet,2018,
Chemical Engineering,CHE 571,CHE 571 - Industrial Ecology,Introduction to Sustainable Development - E2,Kyoto University,2018,
Chemical Engineering,CHE 574,CHE 574 - Industrial Wastewater Pollution Control,Science on Water  Soil and Ecosystems - E2,Kyoto University,2018,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,47305 - Electrochemistry,Technical University of Denmark ,2020,
Chemical Engineering,CHE 331,CHE 331 - Electrochemical Engineering,47310 - Battery Materials and Chemistries: From 				Fundamental Mechanisms to Battery Cells,Technical University of Denmark ,2019,
